session_id,directed_search_usage,sales,prior_sessions,high_intent,returning_customer,mobile_session,prior_customer_value,true_effect,true_propensity
S00064,0,36.9894,3,1,0,0,65.2268,8.0,0.343296
S00065,1,54.6153,3,1,1,1,125.333,8.0,0.502999
S00066,0,28.4277,3,0,0,0,91.2264,8.0,0.191137
S00067,0,36.1198,3,0,1,0,157.4832,8.0,0.378693
S00068,0,52.35,6,1,1,1,141.7495,8.0,0.733117
S00069,0,40.4504,3,0,1,0,136.8752,8.0,0.350066
S00070,1,51.9477,1,1,1,0,146.4313,8.0,0.447343
S00071,0,33.8885,0,1,0,0,90.1608,8.0,0.197969
S00072,0,24.8729,1,0,0,0,76.3499,8.0,0.106035
S00073,1,49.8915,6,0,0,0,191.443,8.0,0.51466
S00074,1,46.0277,2,1,1,1,83.5274,8.0,0.368459
S00075,0,42.2054,1,1,1,0,116.0935,8.0,0.40289
S00076,1,56.4469,5,1,0,0,155.3507,8.0,0.620602
S00077,0,33.7361,3,0,1,1,103.5908,8.0,0.255697
S00078,0,26.2592,1,0,0,1,96.4937,8.0,0.094402
S00079,1,62.1066,5,1,1,0,154.5221,8.0,0.738296
S00080,1,40.3257,3,0,0,0,128.7207,8.0,0.228346
S00081,0,38.6367,3,0,1,1,113.5505,8.0,0.267235
S00082,0,51.5748,7,1,0,1,162.854,8.0,0.708296
S00083,0,31.5209,2,0,1,0,63.7696,8.0,0.204666
S00084,0,38.622,3,1,0,0,104.6739,8.0,0.398443
S00085,0,31.9016,4,0,0,1,125.5361,8.0,0.233835
S00086,0,37.5152,2,1,0,1,124.7876,8.0,0.301266
S00087,1,59.638,5,1,1,0,135.2994,8.0,0.715408
S00088,0,32.1995,1,0,1,1,142.1681,8.0,0.192012
S00089,1,59.7845,6,1,1,0,126.2423,8.0,0.762685
S00090,0,25.2969,0,0,0,0,110.9407,8.0,0.097585
S00091,0,37.3449,3,1,0,1,88.233,8.0,0.318516
S00092,0,28.1198,2,0,0,1,125.5695,8.0,0.143492
S00093,0,46.666,2,1,1,0,131.0817,8.0,0.499123
S00094,0,34.1906,4,0,0,0,107.1541,8.0,0.259787
S00095,0,29.0391,2,0,0,0,89.8741,8.0,0.147952
S00096,1,45.8753,2,1,0,0,104.1189,8.0,0.328432
S00097,0,34.945,2,0,1,0,126.8449,8.0,0.273104
S00098,0,32.8266,2,0,1,0,116.7437,8.0,0.261239
S00099,0,23.5579,1,0,0,1,102.0114,8.0,0.09727
S00100,0,29.1288,2,0,0,1,127.2615,8.0,0.144744
S00101,1,53.6173,4,1,1,1,91.9461,8.0,0.52789
S00102,1,39.8537,1,0,1,0,103.5209,8.0,0.194838
S00103,0,39.3903,3,0,1,0,136.5755,8.0,0.349657
S00104,0,32.0724,4,0,0,1,129.4033,8.0,0.238017
S00105,0,34.6248,2,1,0,1,93.5055,8.0,0.263284
S00106,1,43.0278,2,0,1,0,116.3361,8.0,0.260768
S00107,1,42.5761,1,0,1,0,138.6737,8.0,0.230063
S00108,0,40.661,4,1,0,1,135.6425,8.0,0.456077
S00109,0,38.5662,2,1,0,0,123.6627,8.0,0.354796
S00110,0,29.1081,2,0,0,1,158.4941,8.0,0.16952
S00111,0,30.8398,1,1,0,0,56.6932,8.0,0.214192
S00112,1,54.214,4,1,1,1,103.8245,8.0,0.54561
S00113,0,32.2167,2,0,0,0,108.647,8.0,0.162721
S00114,0,36.6669,2,1,0,1,114.8253,8.0,0.288835
S00115,0,38.4615,3,0,1,0,123.9672,8.0,0.332656
S00116,0,30.8969,4,0,0,0,131.0902,8.0,0.28834
S00117,0,26.8612,1,0,1,1,113.9233,8.0,0.167081
S00118,0,30.7769,0,0,1,0,105.3875,8.0,0.153466
S00119,0,24.8909,3,0,0,1,96.3616,8.0,0.159516
S00120,0,22.7321,1,0,0,1,80.3457,8.0,0.086438
S00121,0,39.5509,4,0,1,1,175.022,8.0,0.415841
S00122,0,31.2469,2,0,1,1,116.3737,8.0,0.215555
S00123,1,45.4913,3,0,1,1,151.2551,8.0,0.313788
S00124,0,42.0806,2,1,1,0,107.2672,8.0,0.463466
S00125,1,47.4702,0,1,1,1,137.5603,8.0,0.306903
S00126,0,32.6201,2,0,1,0,106.6594,8.0,0.249732
S00127,0,39.3608,2,1,0,0,124.6594,8.0,0.356166
S00128,1,37.3643,3,0,0,1,131.3565,8.0,0.189715
S00129,0,40.6356,5,0,1,0,137.7368,8.0,0.496605
S00130,0,25.2613,0,0,1,1,84.7256,8.0,0.110894
S00131,1,56.2463,6,1,0,0,142.8819,8.0,0.67201
S00132,0,26.9994,1,0,0,0,86.3797,8.0,0.111876
S00133,0,32.5039,1,0,1,1,120.7115,8.0,0.172826
S00134,0,33.9603,3,0,1,0,148.3086,8.0,0.36583
S00135,0,43.402,2,1,1,1,148.0912,8.0,0.462209
S00136,1,42.2861,5,0,0,0,137.9656,8.0,0.363037
S00137,1,52.0737,2,1,1,0,122.9695,8.0,0.486957
S00138,0,30.0031,3,0,0,1,127.0582,8.0,0.185783
S00139,0,26.4328,1,0,0,0,129.3364,8.0,0.140158
S00140,0,28.8623,2,0,0,1,103.2051,8.0,0.127776
S00141,1,41.5515,2,0,1,0,121.3026,8.0,0.266553
S00142,0,18.2001,0,0,0,0,49.3564,8.0,0.069535
S00143,0,34.7896,1,0,1,0,148.8012,8.0,0.241002
S00144,1,65.9326,7,1,1,0,157.7847,8.0,0.839796
S00145,0,42.2224,4,1,0,0,77.0964,8.0,0.431086
S00146,0,36.0957,3,0,1,1,181.4005,8.0,0.353978
S00147,0,29.1874,1,0,1,1,125.8209,8.0,0.177252
S00148,1,47.582,3,0,1,0,143.6931,8.0,0.359429
S00149,1,37.3105,2,0,0,1,141.7877,8.0,0.155871
S00150,1,56.4912,4,1,1,0,113.1139,8.0,0.619796
S00151,1,61.1139,6,1,1,1,158.2828,8.0,0.752073
S00152,0,41.2325,2,1,1,0,94.8336,8.0,0.444974
S00153,1,44.5183,3,1,0,0,119.4244,8.0,0.419834
S00154,1,68.6305,8,1,1,0,218.7535,8.0,0.910725
S00155,0,48.6438,5,1,1,1,168.4216,8.0,0.704856
S00156,0,36.2698,3,1,0,1,110.4229,8.0,0.348086
S00157,1,58.3931,5,1,1,0,115.7284,8.0,0.690909
S00158,0,33.7512,0,1,0,0,123.2937,8.0,0.231433
S00159,1,38.1547,1,0,1,0,118.072,8.0,0.2089
S00160,1,56.4482,4,1,1,0,143.8404,8.0,0.662184
S00161,1,57.4618,5,1,1,1,133.9,8.0,0.660024
S00162,0,34.0483,1,1,0,1,107.5363,8.0,0.223605
S00163,1,48.9433,8,0,0,1,166.7469,8.0,0.564755
S00164,0,35.6221,4,0,0,1,165.0947,8.0,0.278999
S00165,0,37.0716,3,1,0,1,102.1211,8.0,0.33687
S00166,0,34.1498,2,0,1,1,124.7479,8.0,0.224173
S00167,0,26.5853,2,0,0,1,89.9539,8.0,0.119174
S00168,0,38.2419,3,1,0,1,121.7916,8.0,0.363721
S00169,1,43.4482,1,1,0,0,90.4744,8.0,0.250274
S00170,1,43.9902,2,1,0,0,126.3882,8.0,0.358548
S00171,1,53.8527,2,1,1,1,162.5915,8.0,0.483893
S00172,0,46.1763,5,1,0,1,148.2363,8.0,0.54969
S00173,0,31.3415,1,0,1,1,115.5796,8.0,0.168468
S00174,1,37.0451,1,0,1,0,99.817,8.0,0.191375
S00175,1,50.6297,5,0,1,1,163.5003,8.0,0.472777
S00176,0,36.3434,1,1,0,1,95.3419,8.0,0.21116
S00177,0,43.8491,3,1,1,0,123.0858,8.0,0.561811
S00178,0,54.2565,5,1,1,0,160.5568,8.0,0.745232
S00179,0,50.6336,5,1,1,1,126.7775,8.0,0.65037
S00180,0,45.4295,4,1,1,1,129.3563,8.0,0.583252
S00181,0,44.8116,2,1,1,0,104.8496,8.0,0.459861
S00182,1,73.5849,11,1,1,1,233.5708,8.0,0.955273
S00183,0,37.0597,4,0,1,1,142.4893,8.0,0.369337
S00184,0,34.208,0,1,0,0,87.689,8.0,0.195625
S00185,0,42.8573,4,0,1,1,179.3391,8.0,0.422147
S00186,0,21.2454,0,0,0,0,93.1467,8.0,0.088578
S00187,0,33.2414,3,0,1,1,129.589,8.0,0.286495
S00188,1,61.678,6,1,1,0,135.2943,8.0,0.772374
S00189,1,49.8826,3,0,1,0,163.8345,8.0,0.387699
S00190,1,46.0452,4,0,1,0,120.5293,8.0,0.397277
S00191,0,46.9007,3,1,1,1,161.3791,8.0,0.556822
S00192,0,28.9009,2,0,0,1,151.7918,8.0,0.163933
S00193,0,30.5663,1,0,1,0,102.656,8.0,0.194025
S00194,0,40.6465,4,0,1,1,163.9438,8.0,0.399791
S00195,0,26.0491,2,0,0,0,72.6558,8.0,0.135396
S00196,0,29.4087,2,0,0,0,129.3059,8.0,0.180322
S00197,1,48.1433,3,1,0,1,130.091,8.0,0.375322
S00198,0,26.6365,2,0,0,0,108.6529,8.0,0.162726
S00199,1,47.8722,3,1,0,0,102.4282,8.0,0.395218
S00200,0,36.2008,3,1,0,1,121.7468,8.0,0.363659
S00201,1,57.3858,5,1,1,0,160.0714,8.0,0.744678
S00202,1,48.947,0,1,1,0,106.0214,8.0,0.319978
S00203,0,30.0807,1,0,1,1,106.1644,8.0,0.160702
S00204,1,53.4889,6,0,1,0,151.9305,8.0,0.591841
S00205,0,37.8921,3,1,0,1,134.7744,8.0,0.381933
S00206,1,60.144,5,1,1,0,134.6166,8.0,0.714573
S00207,1,35.0673,3,0,0,0,110.7901,8.0,0.209945
S00208,1,49.6873,5,0,1,0,148.4096,8.0,0.512612
S00209,0,42.1403,5,1,0,1,130.1203,8.0,0.522665
S00210,0,26.6933,1,0,0,1,136.8797,8.0,0.117251
S00211,1,54.2199,6,0,1,0,163.1903,8.0,0.608054
S00212,0,38.2461,3,1,0,0,102.5148,8.0,0.395342
S00213,0,40.4213,4,0,1,0,140.6548,8.0,0.426518
S00214,0,26.4399,2,0,0,1,141.5556,8.0,0.155688
S00215,0,37.8571,2,1,0,1,140.6997,8.0,0.321737
S00216,0,23.9219,1,0,1,1,64.3333,8.0,0.129656
S00217,1,51.3277,7,0,1,1,149.8046,8.0,0.600807
S00218,0,36.5297,4,0,1,1,132.6457,8.0,0.355689
S00219,0,35.4379,2,0,1,1,155.6172,8.0,0.258018
S00220,0,28.9262,0,0,1,0,107.7947,8.0,0.155351
S00221,0,23.7773,1,0,0,0,137.9623,8.0,0.146512
S00222,1,55.7871,3,1,1,1,116.0446,8.0,0.489069
S00223,0,25.634,2,0,0,0,105.7207,8.0,0.160343
S00224,1,43.76,3,0,1,1,130.9789,8.0,0.288203
S00225,0,44.1665,4,1,0,0,138.703,8.0,0.523038
S00226,0,41.4457,3,1,0,0,149.0017,8.0,0.463567
S00227,0,30.89,2,0,1,1,137.5928,8.0,0.237861
S00228,1,68.2431,6,1,1,0,178.5047,8.0,0.814728
S00229,1,57.3387,5,1,1,0,125.659,8.0,0.703486
S00230,0,30.7386,1,0,1,1,111.8413,8.0,0.165349
S00231,0,35.1094,1,0,1,0,99.2666,8.0,0.190865
S00232,0,42.3011,2,1,1,1,115.9802,8.0,0.414809
S00233,0,29.3909,3,0,0,0,97.2379,8.0,0.196775
S00234,1,59.4963,4,1,1,1,160.386,8.0,0.627689
S00235,0,39.2635,2,1,0,0,124.4067,8.0,0.355818
S00236,0,35.1814,3,0,1,1,127.0384,8.0,0.283377
S00237,0,31.2407,3,0,0,1,127.2357,8.0,0.185944
S00238,0,50.5038,5,1,1,1,176.6012,8.0,0.714962
S00239,0,36.1698,1,1,1,1,86.2429,8.0,0.305224
S00240,0,25.6309,2,0,0,0,60.4867,8.0,0.127074
S00241,1,51.9947,5,1,0,0,129.3121,8.0,0.583188
S00242,0,32.519,3,0,0,0,107.856,8.0,0.20704
S00243,0,43.7062,3,1,0,1,127.621,8.0,0.371853
S00244,0,55.7545,6,1,1,1,167.5213,8.0,0.762263
S00245,0,29.4075,1,0,1,0,86.2729,8.0,0.179114
S00246,0,37.9324,1,1,0,0,104.7504,8.0,0.266687
S00247,1,50.5564,3,1,1,1,122.929,8.0,0.499394
S00248,0,47.4613,3,1,1,0,84.6425,8.0,0.504464
S00249,0,39.8573,4,1,0,0,73.9957,8.0,0.426529
S00250,0,25.9519,0,0,1,0,96.1389,8.0,0.146394
S00251,0,24.9902,2,0,0,1,96.7092,8.0,0.123495
S00252,0,43.3125,2,1,1,0,101.2212,8.0,0.454458
S00253,1,53.1714,5,0,1,0,169.4795,8.0,0.544104
S00254,0,38.7079,4,0,1,1,141.0125,8.0,0.367275
S00255,0,27.2113,1,0,0,0,102.1348,8.0,0.121619
S00256,1,44.3016,4,0,1,1,145.7445,8.0,0.373897
S00257,0,28.549,3,0,0,1,86.9279,8.0,0.152073
S00258,1,32.4631,1,0,0,0,112.2149,8.0,0.128229
S00259,0,23.4452,1,0,0,0,90.7568,8.0,0.114512
S00260,0,52.9956,5,1,1,1,175.6951,8.0,0.713853
S00261,1,52.0061,2,1,1,1,141.4254,8.0,0.452284
S00262,1,44.6517,5,0,0,0,146.4526,8.0,0.374892
S00263,0,50.3807,5,1,1,1,160.431,8.0,0.694785
S00264,0,34.0207,2,0,1,0,121.5655,8.0,0.266861
S00265,1,57.5657,4,1,1,0,156.4058,8.0,0.678838
S00266,0,42.5817,4,0,1,0,170.7579,8.0,0.471169
S00267,0,29.1239,3,0,0,0,102.4621,8.0,0.201777
S00268,1,43.7788,2,1,0,1,80.203,8.0,0.248098
S00269,1,53.2163,5,1,0,1,160.2129,8.0,0.567406
S00270,0,24.8005,2,0,0,0,79.2653,8.0,0.140106
S00271,1,58.1147,4,1,1,0,149.2311,8.0,0.669381
S00272,0,29.8277,0,0,1,0,91.2819,8.0,0.14279
S00273,0,47.5103,3,1,1,0,110.5854,8.0,0.54327
S00274,0,32.5157,3,0,0,1,171.9992,8.0,0.230054
S00275,1,68.4449,8,1,1,0,214.4723,8.0,0.908614
S00276,0,39.5673,2,1,0,0,166.5958,8.0,0.415706
S00277,0,33.4573,3,0,1,1,106.1587,8.0,0.25864
S00278,0,43.2904,3,1,1,1,114.4818,8.0,0.486726
S00279,0,20.5976,1,0,0,1,107.6315,8.0,0.100272
S00280,1,50.931,4,1,0,0,134.0851,8.0,0.516122
S00281,0,45.1459,2,1,1,0,115.8649,8.0,0.476315
S00282,0,25.4808,1,0,0,1,86.9407,8.0,0.089614
S00283,1,44.1638,2,1,0,0,81.3652,8.0,0.299054
S00284,1,30.7554,0,0,0,0,88.0946,8.0,0.086161
S00285,0,23.8531,0,0,0,0,95.9441,8.0,0.089943
S00286,1,41.0299,2,0,1,0,84.8682,8.0,0.226043
S00287,1,49.4733,5,1,0,1,86.8472,8.0,0.457871
S00288,0,35.9175,2,0,1,0,134.1315,8.0,0.281869
S00289,1,52.2369,3,1,1,1,146.0676,8.0,0.534049
S00290,1,48.4373,4,0,1,1,126.4635,8.0,0.347234
S00291,0,33.6396,3,0,1,0,117.0365,8.0,0.32349
S00292,1,48.0702,4,0,1,0,139.2994,8.0,0.42453
S00293,0,31.9999,3,0,0,0,94.5361,8.0,0.194226
S00294,0,34.7268,3,0,1,1,115.0567,8.0,0.269008
S00295,0,34.9808,2,1,0,1,104.094,8.0,0.275791
S00296,0,43.5287,1,1,1,0,149.486,8.0,0.451878
S00297,0,33.1756,2,1,0,1,72.8517,8.0,0.239962
S00298,0,33.6372,3,0,1,1,139.2099,8.0,0.298439
S00299,1,62.1062,5,1,1,0,156.2605,8.0,0.740307
S00300,0,27.0173,2,0,0,1,125.0051,8.0,0.143076
S00301,1,44.6286,2,1,0,1,94.7654,8.0,0.264753
S00302,0,33.5394,3,0,1,0,113.2236,8.0,0.318503
S00303,0,26.2029,3,0,0,1,70.1405,8.0,0.139535
S00304,0,30.2583,2,0,0,0,162.7628,8.0,0.211915
S00305,1,51.9004,5,0,1,0,169.3248,8.0,0.543874
S00306,0,27.3941,3,0,0,1,133.3323,8.0,0.191544
S00307,0,32.8756,2,0,1,1,124.2229,8.0,0.223625
S00308,1,56.9241,5,1,1,1,147.5548,8.0,0.67816
S00309,0,27.211,0,0,1,1,89.8059,8.0,0.113935
S00310,1,34.5403,2,0,0,0,119.8915,8.0,0.172124
S00311,1,58.1377,4,1,1,1,180.9292,8.0,0.656013
S00312,0,36.4691,3,1,0,1,85.1361,8.0,0.314496
S00313,1,55.4933,3,1,1,1,108.0905,8.0,0.477152
S00314,0,33.794,1,0,1,0,118.5369,8.0,0.209361
S00315,0,39.1093,4,0,1,1,131.2173,8.0,0.353727
S00316,0,44.7394,2,1,1,0,131.6722,8.0,0.500008
S00317,0,35.2219,2,0,1,0,135.098,8.0,0.283044
S00318,0,33.06,3,0,1,1,131.0652,8.0,0.288309
S00319,1,48.3801,4,0,1,1,169.9374,8.0,0.40845
S00320,0,42.5647,5,0,1,0,152.1562,8.0,0.518226
S00321,1,51.0032,4,1,0,1,163.5309,8.0,0.497796
S00322,0,26.1492,1,0,0,0,98.4415,8.0,0.119271
S00323,0,44.314,2,1,1,0,149.5698,8.0,0.526829
S00324,0,34.337,3,0,1,0,100.8644,8.0,0.302628
S00325,1,56.3566,6,1,0,0,128.061,8.0,0.652119
S00326,0,38.4973,2,1,0,1,115.4608,8.0,0.289619
S00327,1,65.5107,8,1,1,0,168.8437,8.0,0.883197
S00328,0,24.8527,1,0,0,0,92.2392,8.0,0.115417
S00329,0,35.8184,2,1,0,0,117.4862,8.0,0.346359
S00330,0,35.0631,3,1,0,1,86.3343,8.0,0.316048
S00331,1,44.8952,2,1,0,0,109.222,8.0,0.33522
S00332,1,61.0181,5,1,1,0,168.7211,8.0,0.75442
S00333,1,38.0186,3,0,0,1,112.5578,8.0,0.17298
S00334,1,61.9643,7,1,0,0,165.4234,8.0,0.759975
S00335,1,51.4371,4,1,0,0,149.4742,8.0,0.539131
S00336,0,41.0151,3,1,0,1,132.1046,8.0,0.378158
S00337,0,31.1184,3,0,0,1,111.2542,8.0,0.171864
S00338,0,46.1471,3,1,1,1,139.9629,8.0,0.524924
S00339,0,35.5999,2,0,1,0,128.564,8.0,0.275156
S00340,0,29.3374,3,0,0,1,113.6519,8.0,0.173921
S00341,1,47.356,1,1,1,0,71.085,8.0,0.339956
S00342,0,48.3646,3,1,1,1,108.9489,8.0,0.478437
S00343,0,33.2532,1,1,0,1,95.416,8.0,0.211234
S00344,1,44.6585,3,0,1,1,137.1886,8.0,0.295906
S00345,1,38.0102,0,0,1,0,116.1433,8.0,0.162038
S00346,1,45.5432,3,0,1,0,107.4164,8.0,0.310989
S00347,0,39.3947,4,0,1,0,158.6731,8.0,0.453148
S00348,0,25.3239,1,0,0,0,80.5688,8.0,0.108458
S00349,0,55.2493,5,1,1,0,173.1218,8.0,0.759279
S00350,1,45.0251,2,1,0,0,112.2988,8.0,0.339347
S00351,0,28.7888,1,0,1,0,116.5111,8.0,0.207357
S00352,0,37.0158,4,0,1,1,151.4996,8.0,0.382016
S00353,1,44.51,3,0,1,0,115.3836,8.0,0.321323
S00354,0,27.403,1,0,0,1,116.6546,8.0,0.105263
S00355,1,41.5876,4,0,0,0,137.8223,8.0,0.296699
S00356,0,24.7844,2,0,0,1,85.3185,8.0,0.116285
S00357,1,53.2619,4,1,0,0,145.5403,8.0,0.533261
S00358,0,23.2592,1,0,0,1,101.1968,8.0,0.096842
S00359,0,37.9782,3,0,1,1,164.6931,8.0,0.331404
S00360,0,38.7474,6,0,0,0,114.7662,8.0,0.400975
S00361,0,31.4411,2,0,1,1,107.8884,8.0,0.207071
S00362,0,47.7644,4,1,1,0,122.7263,8.0,0.63329
S00363,1,45.7737,2,1,1,1,99.2961,8.0,0.390735
S00364,0,35.5234,3,1,0,1,83.8037,8.0,0.312775
S00365,0,36.4154,3,0,1,1,144.1061,8.0,0.304626
S00366,0,46.6925,4,1,1,1,134.6027,8.0,0.590883
S00367,1,64.0824,6,1,1,0,165.3119,8.0,0.802481
S00368,1,46.322,4,0,1,0,122.7701,8.0,0.400501
S00369,0,43.9991,5,1,0,0,129.5382,8.0,0.583517
S00370,0,33.6039,2,0,1,0,117.4156,8.0,0.262018
S00371,1,60.68,5,1,1,0,130.3118,8.0,0.709276
S00372,1,42.4268,3,0,1,1,108.9178,8.0,0.261827
S00373,0,46.8621,5,1,0,0,139.5201,8.0,0.597996
S00374,1,34.1851,1,0,1,1,69.1703,8.0,0.132967
S00375,0,41.121,3,1,0,1,153.1091,8.0,0.408216
S00376,1,48.3419,4,0,1,0,117.9657,8.0,0.3936
S00377,0,31.2247,1,0,1,0,90.8232,8.0,0.183163
S00378,0,31.5532,3,0,0,1,148.5204,8.0,0.206054
S00379,0,29.1218,1,0,1,1,115.0074,8.0,0.167988
S00380,0,39.6873,4,0,1,1,160.6595,8.0,0.395072
S00381,0,40.589,5,0,1,0,135.4588,8.0,0.493189
S00382,0,44.4383,3,1,1,1,100.9168,8.0,0.466426
S00383,0,49.385,5,1,1,1,140.9373,8.0,0.669433
S00384,0,36.5548,4,0,1,0,134.6165,8.0,0.417681
S00385,0,36.3993,5,0,0,0,119.667,8.0,0.33805
S00386,0,38.9636,1,1,1,0,97.5492,8.0,0.376436
S00387,0,41.9098,3,1,0,0,143.7868,8.0,0.455796
S00388,0,21.1849,0,0,0,0,59.5098,8.0,0.073581
S00389,1,48.022,3,1,1,1,113.922,8.0,0.485887
S00390,1,57.537,4,1,1,1,153.2132,8.0,0.617578
S00391,0,31.327,0,0,1,0,153.2754,8.0,0.194607
S00392,0,26.3284,1,0,1,1,98.8022,8.0,0.154833
S00393,1,53.7291,7,0,1,1,158.8282,8.0,0.613718
S00394,1,53.9785,3,1,1,0,160.6091,8.0,0.616248
S00395,0,32.0465,1,1,0,1,71.1161,8.0,0.187963
S00396,0,37.242,2,0,1,1,137.5172,8.0,0.237779
S00397,0,32.4926,1,0,1,1,133.1089,8.0,0.18372
S00398,0,35.2722,2,0,1,0,115.9205,8.0,0.260287
S00399,1,69.7413,8,1,1,1,200.3547,8.0,0.876763
S00400,0,44.6709,4,1,1,0,105.5446,8.0,0.609037
S00401,0,37.9705,3,0,1,1,133.1239,8.0,0.290851
S00402,0,37.9478,3,1,0,0,131.5192,8.0,0.437606
S00403,0,26.5079,1,0,1,1,62.3822,8.0,0.128341
S00404,1,41.5548,1,0,1,1,121.4454,8.0,0.173456
S00405,0,43.4691,3,1,1,0,103.6118,8.0,0.53287
S00406,0,29.4827,3,0,0,1,135.7235,8.0,0.193776
S00407,1,46.4309,2,1,0,0,94.0329,8.0,0.315225
S00408,1,42.4719,3,0,1,0,87.6666,8.0,0.286182
S00409,1,52.1662,5,1,0,0,124.2434,8.0,0.575777
S00410,1,52.5541,2,1,1,1,135.6344,8.0,0.443691
S00411,0,32.2204,4,0,0,0,147.5606,8.0,0.309035
S00412,0,32.4302,2,0,1,0,123.6285,8.0,0.26929
S00413,0,41.9296,3,1,0,1,130.7719,8.0,0.37628
S00414,0,24.4063,1,0,0,0,105.2634,8.0,0.123638
S00415,1,54.7407,2,1,1,0,135.45,8.0,0.505675
S00416,0,32.0849,1,0,1,0,160.6512,8.0,0.254246
S00417,1,48.1819,3,0,1,0,132.4062,8.0,0.34399
S00418,1,60.376,4,1,1,0,166.65,8.0,0.692088
S00419,0,48.9854,7,0,1,0,166.3932,8.0,0.680997
S00420,0,45.9101,6,1,0,1,137.2051,8.0,0.606645
S00421,0,46.9861,6,1,0,1,124.4514,8.0,0.588243
S00422,0,29.9276,0,0,1,1,132.8839,8.0,0.142742
S00423,0,40.0209,3,1,0,1,121.722,8.0,0.363624
